iter	Passed	Remaining
182	290	1295
183	290	1289
184	291	1283
185	292	1277
186	292	1272
187	293	1266
188	293	1261
189	294	1255
190	294	1249
191	295	1243
192	296	1237
193	296	1232
194	297	1226
195	297	1221
196	298	1216
197	298	1210
198	299	1205
199	300	1200
200	300	1195
201	301	1189
202	301	1184
203	302	1179
204	302	1174
205	303	1169
206	304	1165
207	304	1159
208	305	1155
209	305	1150
210	306	1145
211	307	1141
212	307	1136
213	308	1131
214	308	1126
215	309	1122
216	309	1117
217	310	1113
218	310	1109
219	311	1104
220	312	1099
221	312	1095
222	313	1091
223	313	1086
224	314	1082
225	314	1078
226	315	1074
227	316	1070
228	316	1066
229	317	1061
230	317	1057
231	318	1053
232	318	1049
233	319	1046
234	320	1042
235	320	1038
236	321	1034
237	321	1030
238	322	1026
239	323	1022
240	323	1019
241	324	1015
242	324	1011
243	325	1008
244	325	1004
245	326	1000
246	327	997
247	327	993
248	328	989
249	328	986
250	329	982
251	329	979
252	330	975
253	330	972
254	331	968
255	332	965
256	332	961
257	333	958
258	333	955
259	334	952
260	335	948
261	335	945
262	336	942
263	336	938
264	337	935
265	337	932
266	338	928
267	338	925
268	339	922
269	339	919
270	340	916
271	341	913
272	341	910
273	342	906
274	342	903
275	343	900
276	344	897
277	344	894
278	345	892
279	345	889
280	346	886
281	347	883
282	347	880
283	348	877
284	348	874
285	349	871
286	349	869
287	350	866
288	350	863
289	351	860
290	352	857
291	352	855
292	353	852
293	353	849
294	354	846
295	354	844
296	355	841
297	356	838
298	356	836
299	357	833
300	357	830
301	358	828
302	358	825
303	359	823
304	360	821
305	361	819
306	361	816
307	362	814
308	362	811
309	363	809
310	364	806
311	364	804
312	365	801
313	365	799
314	366	796
315	366	794
316	367	791
317	368	789
318	368	786
319	369	784
320	369	782
321	370	779
322	370	777
323	371	775
324	372	772
325	372	770
326	373	768
327	373	765
328	374	763
329	375	761
330	375	759
331	376	757
332	376	754
333	377	752
334	378	750
335	378	748
336	379	746
337	380	744
338	380	742
339	381	740
340	381	738
341	382	736
342	383	733
343	383	731
344	384	729
345	384	727
346	385	725
347	386	723
348	386	721
349	387	719
350	388	717
351	388	715
352	389	713
353	390	711
354	390	709
355	391	707
356	391	705
357	392	703
358	393	701
359	393	699
360	394	697
361	394	695
362	395	693
363	396	692
364	396	690
365	397	688
366	397	686
367	398	684
368	399	682
369	399	680
370	400	678
371	400	676
372	401	674
373	401	672
374	402	670
375	403	668
376	403	667
377	404	665
378	405	663
379	405	661
380	406	660
381	406	658
382	407	656
383	408	654
384	408	652
385	409	651
386	409	649
387	410	647
388	410	645
389	411	643
390	412	641
391	412	640
392	413	638
393	413	636
394	414	634
395	414	632
396	415	631
397	415	629
398	416	627
399	417	625
400	417	624
401	418	622
402	418	620
403	419	618
404	419	617
405	420	615
406	421	613
407	421	611
408	422	610
409	422	608
410	423	606
411	423	605
412	424	603
413	425	601
414	425	600
415	426	598
416	426	596
417	427	594
418	427	593
419	428	591
420	428	589
421	429	588
422	430	586
423	430	585
424	431	583
425	431	582
426	432	580
427	433	579
428	434	578
429	435	577
430	436	576
431	437	574
432	437	573
433	438	571
434	439	570
435	439	569
436	440	567
437	441	566
438	441	564
439	442	562
440	442	561
441	443	559
442	443	558
443	444	556
444	445	555
445	445	553
446	446	552
447	446	550
448	447	549
449	448	547
450	448	546
451	449	544
452	449	543
453	450	541
454	450	540
455	451	538
456	452	537
457	452	535
458	453	534
459	453	532
460	454	531
461	454	529
462	455	528
463	455	526
464	456	525
465	457	523
466	457	522
467	458	521
468	458	519
469	459	518
470	460	516
471	460	515
472	461	514
473	462	512
474	462	511
475	463	510
476	463	508
477	464	507
478	464	505
479	465	504
480	466	502
481	466	501
482	467	500
483	467	498
484	468	497
485	468	495
486	469	494
487	469	492
488	470	491
489	470	490
490	471	488
491	471	487
492	472	485
493	472	484
494	473	483
495	473	481
496	474	480
497	475	478
498	475	477
499	476	476
500	476	474
501	477	473
502	477	472
503	478	470
504	478	469
505	479	468
506	480	466
507	480	465
508	481	464
509	481	462
510	482	461
511	482	460
512	483	458
513	483	457
514	484	456
515	485	455
516	485	453
517	486	452
518	487	451
519	487	450
520	488	449
521	489	448
522	489	446
523	490	445
524	491	444
525	492	443
526	492	442
527	493	441
528	494	440
529	494	438
530	495	437
531	496	436
532	496	435
533	497	434
534	498	432
535	498	431
536	499	430
537	500	429
538	500	428
539	501	426
540	501	425
541	502	424
542	503	423
543	503	422
544	504	421
545	505	420
546	505	418
547	506	417
548	507	416
549	507	415
550	508	414
551	509	413
552	509	412
553	510	410
554	511	409
555	511	408
556	512	407
557	512	406
558	513	405
559	513	403
560	514	402
561	515	401
562	515	400
563	516	399
564	516	397
565	517	396
566	518	395
567	518	394
568	519	393
569	520	392
570	520	391
571	521	390
572	521	388
573	522	387
574	522	386
575	523	385
576	524	384
577	524	383
578	525	381
579	525	380
580	526	379
581	527	378
582	527	377
583	528	376
584	528	375
585	529	373
586	529	372
587	530	371
588	531	370
589	531	369
590	532	368
591	532	367
592	533	366
593	533	364
594	534	363
595	535	362
596	535	361
597	536	360
598	536	359
599	537	358
600	538	357
601	538	356
602	539	355
603	539	354
604	540	352
605	541	351
606	541	350
607	542	349
608	542	348
609	543	347
610	543	346
611	544	345
612	545	344
613	545	343
614	546	342
615	546	340
616	547	339
617	548	338
618	548	337
619	549	336
620	549	335
621	550	334
622	551	333
623	551	332
624	552	331
625	552	330
626	553	329
627	554	328
628	554	327
629	555	326
630	555	325
631	556	324
632	557	322
633	557	321
634	558	320
635	558	319
636	559	318
637	560	317
638	560	316
639	561	315
640	561	314
641	562	313
642	563	312
643	563	311
644	564	310
645	564	309
646	565	308
647	565	307
648	566	306
649	566	305
650	567	304
651	567	303
652	568	302
653	569	301
654	569	299
655	570	298
656	570	297
657	571	296
658	571	295
659	572	294
660	572	293
661	573	292
662	573	291
663	574	290
664	574	289
665	575	288
666	575	287
667	576	286
668	577	285
669	577	284
670	578	283
671	578	282
672	579	281
673	580	280
674	581	279
675	582	279
676	583	278
677	584	277
678	585	276
679	585	275
680	586	274
681	587	273
682	588	273
683	589	272
684	589	271
685	590	270
686	591	269
687	592	268
688	593	267
689	593	266
690	594	265
691	595	265
692	596	264
693	597	263
694	598	262
695	599	261
696	599	260
697	600	259
698	601	259
699	602	258
700	603	257
701	604	256
702	605	255
703	605	254
704	606	253
705	607	252
706	608	251
707	608	251
708	609	250
709	610	249
710	611	248
711	611	247
712	612	246
713	613	245
714	614	244
715	615	244
716	615	243
717	616	242
718	617	241
719	618	240
720	618	239
721	619	238
722	620	237
723	620	236
724	621	235
725	621	234
726	622	233
727	623	232
728	623	231
729	624	230
730	625	230
731	625	229
732	626	228
733	626	227
734	627	226
735	628	225
736	628	224
737	629	223
738	630	222
739	630	221
740	631	220
741	631	219
742	632	218
743	633	217
744	633	216
745	634	215
746	634	215
747	635	214
748	636	213
749	636	212
750	637	211
751	638	210
752	638	209
753	639	208
754	640	207
755	640	206
756	641	205
757	641	204
758	642	204
759	643	203
760	643	202
761	644	201
762	645	200
763	645	199
764	646	198
765	646	197
766	647	196
767	648	195
768	648	194
769	649	193
770	649	193
771	650	192
772	651	191
773	651	190
774	652	189
775	653	188
776	653	187
777	654	186
778	654	185
779	655	184
780	656	183
781	656	183
782	657	182
783	658	181
784	658	180
785	659	179
786	659	178
787	660	177
788	661	176
789	661	175
790	662	175
791	662	174
792	663	173
793	664	172
794	664	171
795	665	170
796	665	169
797	666	168
798	667	167
799	667	166
800	668	165
801	668	165
802	669	164
803	669	163
804	670	162
805	670	161
806	671	160
807	671	159
808	672	158
809	672	157
810	673	156
811	673	155
812	674	155
813	674	154
814	675	153
815	675	152
816	676	151
817	676	150
818	677	149
819	677	148
820	678	147
821	678	146
822	679	146
823	679	145
824	680	144
825	680	143
826	681	142
827	682	141
828	682	140
829	683	139
830	683	139
831	684	138
832	685	137
833	685	136
834	686	135
835	686	134
836	687	133
837	688	133
838	688	132
839	689	131
840	689	130
841	690	129
842	690	128
843	691	127
844	691	126
845	692	126
846	693	125
847	693	124
848	694	123
849	694	122
850	695	121
851	695	120
852	696	120
853	697	119
854	697	118
855	698	117
856	698	116
857	699	115
858	700	114
859	700	114
860	701	113
861	701	112
862	702	111
863	703	110
864	703	109
865	704	108
866	704	108
867	705	107
868	705	106
869	706	105
870	706	104
871	707	103
872	708	103
873	708	102
874	709	101
875	709	100
876	710	99
877	710	98
878	711	97
879	712	97
880	712	96
881	713	95
882	713	94
883	714	93
884	715	92
885	715	92
886	716	91
887	717	90
888	717	89
889	718	88
890	719	87
891	720	87
892	720	86
893	721	85
894	722	84
895	722	83
896	723	83
897	724	82
898	725	81
899	725	80
900	726	79
901	727	79
902	728	78
903	728	77
904	729	76
905	730	75
906	730	74
907	731	74
908	732	73
909	732	72
910	733	71
911	734	70
912	735	70
913	735	69
914	736	68
915	737	67
916	737	66
917	738	65
918	739	65
919	740	64
920	741	63
921	742	62
922	742	61
923	743	61
924	744	60
925	744	59
926	745	58
927	746	57
928	747	57
929	748	56
930	748	55
931	749	54
932	750	53
933	750	53
934	751	52
935	751	51
936	752	50
937	753	49
938	754	48
939	754	48
940	755	47
941	756	46
942	757	45
943	757	44
944	758	44
945	758	43
946	759	42
947	760	41
948	761	40
949	761	40
950	762	39
951	763	38
952	763	37
953	764	36
954	765	36
955	765	35
956	766	34
957	767	33
958	767	32
959	768	32
960	769	31
961	769	30
962	770	29
963	771	28
964	771	27
965	772	27
966	773	26
967	773	25
968	774	24
969	775	23
970	775	23
971	776	22
972	777	21
973	777	20
974	778	19
975	780	19
976	781	18
977	781	17
978	782	16
979	783	15
980	783	15
981	784	14
982	785	13
983	785	12
984	786	11
985	787	11
986	787	10
987	788	9
988	789	8
989	790	7
990	790	7
991	791	6
992	792	5
993	793	4
994	793	3
995	794	3
996	795	2
997	796	1
998	797	0
999	798	0
